"           ","Deformation",    "Time"
"DP-2A",      0.0833,      0.0000
"DP-2A",      0.1250,      1.0000
"DP-2A",      0.1458,      2.0000
"DP-2A",      0.1875,      3.0000
"DP-2A",      0.2083,      4.0000
"DP-2A",      0.2292,      5.0000
"DP-2A",      0.2500,      6.0000
"DP-2A",      0.2917,      7.0000
"DP-2A",      0.2917,      8.0000
"DP-2A",      0.3125,      9.0000
"DP-2A",      0.3125,     10.0000
"DP-2A",      0.3333,     11.0000
"DP-2A",      0.3125,     12.0000
"DP-2A",      0.3333,     13.0000
"DP-2A",      0.3333,     14.0000
"DP-2A",      0.3333,     15.0000
"DP-2A",      0.3542,     16.0000
"DP-2A",      0.3333,     17.0000
"DP-2A",      0.3333,     18.0000
"DP-2A",      0.3333,     19.0000
"DP-2A",      0.3333,     20.0000
"DP-2A",      0.3333,     21.0000
"DP-2A",      0.3125,     22.0000
"DP-2A",      0.3125,     23.0000
"DP-2A",      0.2917,     24.0000
"DP-2A",      0.2708,     25.0000
"DP-2A",      0.2708,     26.0000
"DP-2A",      0.2500,     27.0000
"DP-2A",      0.2083,     28.0000
"DP-2A",      0.2083,     29.0000
"DP-2A",      0.1875,     30.0000
"DP-2A",      0.1667,     31.0000
"DP-2A",      0.1458,     32.0000
"DP-2A",      0.1250,     33.0000
"DP-2A",      0.1042,     34.0000
"DP-2A",      0.1042,     35.0000
"DP-2A",      0.1042,     36.0000
"DP-2A",      0.1042,     37.0000
"DP-2A",      0.0833,     38.0000
"DP-2A",      0.0833,     39.0000
"DP-2A",      0.1042,     40.0000
"DP-2A",      0.1042,     41.0000
"DP-2A",      0.1042,     42.0000
"DP-2A",      0.0833,     43.0000
"DP-2A",      0.0833,     44.0000
"DP-2A",      0.0625,     45.0000
"DP-2A",      0.0625,     46.0000
"DP-2A",      0.0417,     47.0000
"DP-2A",     -0.0208,     48.0000
"DP-2A",     -0.0625,     49.0000
"DP-2A",     -0.1250,     50.0000
"DP-2A",     -0.1875,     51.0000
"DP-2A",     -0.2917,     52.0000
"DP-2A",     -0.3958,     53.0000
"DP-2A",     -0.5000,     54.0000
"DP-2A",     -0.6458,     55.0000
"DP-2A",     -0.7708,     56.0000
"DP-2A",     -0.9375,     57.0000
"DP-2A",     -1.1042,     58.0000
"DP-2A",     -1.2500,     59.0000
"DP-2A",     -1.4167,     60.0000
"DP-2A",     -1.5833,     61.0000
"DP-2A",     -1.7292,     62.0000
"DP-2A",     -1.8958,     63.0000
"DP-2A",     -2.0417,     64.0000
"DP-2A",     -2.2500,     65.0000
"DP-2A",     -2.3958,     66.0000
"DP-2A",     -2.5417,     67.0000
"DP-2A",     -2.7083,     68.0000
"DP-2A",     -2.8750,     69.0000
"DP-2A",     -3.0208,     70.0000
"DP-2A",     -3.2083,     71.0000
"DP-2A",     -3.3333,     72.0000
"DP-2A",     -3.5000,     73.0000
"DP-2A",     -3.6667,     74.0000
"DP-2A",     -3.8125,     75.0000
"DP-2A",     -3.9792,     76.0000
"DP-2A",     -4.1458,     77.0000
"DP-2A",     -4.3125,     78.0000
"DP-2A",     -4.5000,     79.0000
"DP-2A",     -4.6667,     80.0000
"DP-2A",     -4.8750,     81.0000
"DP-2A",     -5.0417,     82.0000
"DP-2A",     -5.2500,     83.0000
"DP-2A",     -5.4167,     84.0000
"DP-2A",     -5.6458,     85.0000
"DP-2A",     -5.8750,     86.0000
"DP-2A",     -6.0000,     87.0000

