"           ","Deformation",    "Time"
"DP-6C",      0.0820,      0.0000
"DP-6C",      0.1230,      1.0000
"DP-6C",      0.1639,      2.0000
"DP-6C",      0.2049,      3.0000
"DP-6C",      0.2254,      4.0000
"DP-6C",      0.2664,      5.0000
"DP-6C",      0.2869,      6.0000
"DP-6C",      0.3074,      7.0000
"DP-6C",      0.3279,      8.0000
"DP-6C",      0.3279,      9.0000
"DP-6C",      0.3484,     10.0000
"DP-6C",      0.3689,     11.0000
"DP-6C",      0.3689,     12.0000
"DP-6C",      0.3689,     13.0000
"DP-6C",      0.3689,     14.0000
"DP-6C",      0.3689,     15.0000
"DP-6C",      0.3689,     16.0000
"DP-6C",      0.3689,     17.0000
"DP-6C",      0.3689,     18.0000
"DP-6C",      0.3689,     19.0000
"DP-6C",      0.3484,     20.0000
"DP-6C",      0.3279,     21.0000
"DP-6C",      0.3279,     22.0000
"DP-6C",      0.3074,     23.0000
"DP-6C",      0.2869,     24.0000
"DP-6C",      0.2664,     25.0000
"DP-6C",      0.2459,     26.0000
"DP-6C",      0.2254,     27.0000
"DP-6C",      0.1844,     28.0000
"DP-6C",      0.1639,     29.0000
"DP-6C",      0.1434,     30.0000
"DP-6C",      0.1230,     31.0000
"DP-6C",      0.1025,     32.0000
"DP-6C",      0.1025,     33.0000
"DP-6C",      0.1025,     34.0000
"DP-6C",      0.1025,     35.0000
"DP-6C",      0.0820,     36.0000
"DP-6C",      0.0820,     37.0000
"DP-6C",      0.0820,     38.0000
"DP-6C",      0.0820,     39.0000
"DP-6C",      0.0820,     40.0000
"DP-6C",      0.0615,     41.0000
"DP-6C",      0.0820,     42.0000
"DP-6C",      0.0615,     43.0000
"DP-6C",      0.0410,     44.0000
"DP-6C",      0.0205,     45.0000
"DP-6C",      0.0205,     46.0000
"DP-6C",      0.0000,     47.0000
"DP-6C",     -0.0205,     48.0000
"DP-6C",     -0.0615,     49.0000
"DP-6C",     -0.0820,     50.0000
"DP-6C",     -0.1025,     51.0000
"DP-6C",     -0.1434,     52.0000
"DP-6C",     -0.2049,     53.0000
"DP-6C",     -0.3074,     54.0000
"DP-6C",     -0.3893,     55.0000
"DP-6C",     -0.4918,     56.0000
"DP-6C",     -0.6148,     57.0000
"DP-6C",     -0.6967,     58.0000
"DP-6C",     -0.8402,     59.0000
"DP-6C",     -0.9221,     60.0000
"DP-6C",     -1.0451,     61.0000
"DP-6C",     -1.1475,     62.0000
"DP-6C",     -1.2500,     63.0000
"DP-6C",     -1.3730,     64.0000
"DP-6C",     -1.4754,     65.0000
"DP-6C",     -1.5984,     66.0000
"DP-6C",     -1.7008,     67.0000
"DP-6C",     -1.8033,     68.0000
"DP-6C",     -1.9057,     69.0000
"DP-6C",     -2.0287,     70.0000
"DP-6C",     -2.1311,     71.0000
"DP-6C",     -2.2541,     72.0000
"DP-6C",     -2.3566,     73.0000
"DP-6C",     -2.4590,     74.0000
"DP-6C",     -2.5820,     75.0000
"DP-6C",     -2.6639,     76.0000
"DP-6C",     -2.7664,     77.0000
"DP-6C",     -2.8484,     78.0000
"DP-6C",     -2.9508,     79.0000
"DP-6C",     -3.0533,     80.0000
"DP-6C",     -3.1557,     81.0000
"DP-6C",     -3.2377,     82.0000
"DP-6C",     -3.3402,     83.0000
"DP-6C",     -3.4221,     84.0000
"DP-6C",     -3.5041,     85.0000
"DP-6C",     -3.5861,     86.0000
"DP-6C",     -3.6680,     87.0000
"DP-6C",     -3.7500,     88.0000
"DP-6C",     -3.8320,     89.0000
"DP-6C",     -3.9139,     90.0000
"DP-6C",     -3.9959,     91.0000
"DP-6C",     -4.0574,     92.0000
"DP-6C",     -4.1393,     93.0000
"DP-6C",     -4.2213,     94.0000
"DP-6C",     -4.2828,     95.0000
"DP-6C",     -4.3648,     96.0000
"DP-6C",     -4.4467,     97.0000
"DP-6C",     -4.5082,     98.0000
"DP-6C",     -4.5902,     99.0000
"DP-6C",     -4.6516,    100.0000
"DP-6C",     -4.7131,    101.0000
"DP-6C",     -4.7746,    102.0000
"DP-6C",     -4.8361,    103.0000
"DP-6C",     -4.8770,    104.0000
"DP-6C",     -4.9385,    105.0000
"DP-6C",     -5.0000,    106.0000
"DP-6C",     -5.0615,    107.0000
"DP-6C",     -5.1230,    108.0000
"DP-6C",     -5.1844,    109.0000
"DP-6C",     -5.2254,    110.0000
"DP-6C",     -5.2869,    111.0000
"DP-6C",     -5.3279,    112.0000
"DP-6C",     -5.3893,    113.0000
"DP-6C",     -5.4303,    114.0000
"DP-6C",     -5.4918,    115.0000
"DP-6C",     -5.5533,    116.0000
"DP-6C",     -5.5943,    117.0000
"DP-6C",     -5.6557,    118.0000
"DP-6C",     -5.6967,    119.0000
"DP-6C",     -5.7377,    120.0000
"DP-6C",     -5.7992,    121.0000
"DP-6C",     -5.8402,    122.0000
"DP-6C",     -5.8811,    123.0000
"DP-6C",     -5.9221,    124.0000
"DP-6C",     -5.9631,    125.0000
"DP-6C",     -6.0000,    126.0000

