"           ","Deformation",    "Time"
"DP-1F",      0.0826,      0.0000
"DP-1F",      0.1240,      1.0000
"DP-1F",      0.1446,      2.0000
"DP-1F",      0.1860,      3.0000
"DP-1F",      0.2066,      4.0000
"DP-1F",      0.2273,      5.0000
"DP-1F",      0.2479,      6.0000
"DP-1F",      0.2686,      7.0000
"DP-1F",      0.2893,      8.0000
"DP-1F",      0.2893,      9.0000
"DP-1F",      0.2893,     10.0000
"DP-1F",      0.3099,     11.0000
"DP-1F",      0.3099,     12.0000
"DP-1F",      0.3099,     13.0000
"DP-1F",      0.3099,     14.0000
"DP-1F",      0.3099,     15.0000
"DP-1F",      0.2893,     16.0000
"DP-1F",      0.2686,     17.0000
"DP-1F",      0.2686,     18.0000
"DP-1F",      0.2479,     19.0000
"DP-1F",      0.2479,     20.0000
"DP-1F",      0.2066,     21.0000
"DP-1F",      0.1860,     22.0000
"DP-1F",      0.1653,     23.0000
"DP-1F",      0.1240,     24.0000
"DP-1F",      0.0826,     25.0000
"DP-1F",      0.0620,     26.0000
"DP-1F",      0.0413,     27.0000
"DP-1F",      0.0000,     28.0000
"DP-1F",     -0.0207,     29.0000
"DP-1F",     -0.0413,     30.0000
"DP-1F",     -0.0620,     31.0000
"DP-1F",     -0.0826,     32.0000
"DP-1F",     -0.0826,     33.0000
"DP-1F",     -0.1033,     34.0000
"DP-1F",     -0.1240,     35.0000
"DP-1F",     -0.1446,     36.0000
"DP-1F",     -0.1446,     37.0000
"DP-1F",     -0.1860,     38.0000
"DP-1F",     -0.2066,     39.0000
"DP-1F",     -0.2066,     40.0000
"DP-1F",     -0.2273,     41.0000
"DP-1F",     -0.2273,     42.0000
"DP-1F",     -0.2479,     43.0000
"DP-1F",     -0.2479,     44.0000
"DP-1F",     -0.2893,     45.0000
"DP-1F",     -0.2893,     46.0000
"DP-1F",     -0.3099,     47.0000
"DP-1F",     -0.3719,     48.0000
"DP-1F",     -0.4339,     49.0000
"DP-1F",     -0.4959,     50.0000
"DP-1F",     -0.6198,     51.0000
"DP-1F",     -0.7231,     52.0000
"DP-1F",     -0.8264,     53.0000
"DP-1F",     -0.9711,     54.0000
"DP-1F",     -1.0950,     55.0000
"DP-1F",     -1.2603,     56.0000
"DP-1F",     -1.4256,     57.0000
"DP-1F",     -1.5909,     58.0000
"DP-1F",     -1.7355,     59.0000
"DP-1F",     -1.9008,     60.0000
"DP-1F",     -2.0661,     61.0000
"DP-1F",     -2.2521,     62.0000
"DP-1F",     -2.3967,     63.0000
"DP-1F",     -2.5620,     64.0000
"DP-1F",     -2.7273,     65.0000
"DP-1F",     -2.8926,     66.0000
"DP-1F",     -3.0579,     67.0000
"DP-1F",     -3.2231,     68.0000
"DP-1F",     -3.3678,     69.0000
"DP-1F",     -3.5331,     70.0000
"DP-1F",     -3.6983,     71.0000
"DP-1F",     -3.8430,     72.0000
"DP-1F",     -4.0083,     73.0000
"DP-1F",     -4.1736,     74.0000
"DP-1F",     -4.3388,     75.0000
"DP-1F",     -4.4835,     76.0000
"DP-1F",     -4.6488,     77.0000
"DP-1F",     -4.7934,     78.0000
"DP-1F",     -4.9380,     79.0000
"DP-1F",     -5.0826,     80.0000
"DP-1F",     -5.2479,     81.0000
"DP-1F",     -5.4132,     82.0000
"DP-1F",     -5.5579,     83.0000
"DP-1F",     -5.7231,     84.0000
"DP-1F",     -5.9091,     85.0000
"DP-1F",     -6.0000,     86.0000

