"           ","Deformation",    "Time"
"DP-1A",      0.0833,      0.0000
"DP-1A",      0.1250,      1.0000
"DP-1A",      0.1667,      2.0000
"DP-1A",      0.1875,      3.0000
"DP-1A",      0.2083,      4.0000
"DP-1A",      0.2500,      5.0000
"DP-1A",      0.2708,      6.0000
"DP-1A",      0.2917,      7.0000
"DP-1A",      0.3125,      8.0000
"DP-1A",      0.3333,      9.0000
"DP-1A",      0.3333,     10.0000
"DP-1A",      0.3333,     11.0000
"DP-1A",      0.3333,     12.0000
"DP-1A",      0.3125,     13.0000
"DP-1A",      0.2708,     14.0000
"DP-1A",      0.2292,     15.0000
"DP-1A",      0.2083,     16.0000
"DP-1A",      0.2083,     17.0000
"DP-1A",      0.1667,     18.0000
"DP-1A",      0.1458,     19.0000
"DP-1A",      0.1250,     20.0000
"DP-1A",      0.1042,     21.0000
"DP-1A",      0.1042,     22.0000
"DP-1A",      0.0833,     23.0000
"DP-1A",      0.0625,     24.0000
"DP-1A",      0.0417,     25.0000
"DP-1A",      0.0208,     26.0000
"DP-1A",      0.0000,     27.0000
"DP-1A",     -0.0208,     28.0000
"DP-1A",     -0.0417,     29.0000
"DP-1A",     -0.0417,     30.0000
"DP-1A",     -0.0625,     31.0000
"DP-1A",     -0.0833,     32.0000
"DP-1A",     -0.0833,     33.0000
"DP-1A",     -0.0833,     34.0000
"DP-1A",     -0.0833,     35.0000
"DP-1A",     -0.0833,     36.0000
"DP-1A",     -0.0833,     37.0000
"DP-1A",     -0.0833,     38.0000
"DP-1A",     -0.0833,     39.0000
"DP-1A",     -0.0833,     40.0000
"DP-1A",     -0.0833,     41.0000
"DP-1A",     -0.0833,     42.0000
"DP-1A",     -0.0833,     43.0000
"DP-1A",     -0.0833,     44.0000
"DP-1A",     -0.0833,     45.0000
"DP-1A",     -0.0833,     46.0000
"DP-1A",     -0.0833,     47.0000
"DP-1A",     -0.0833,     48.0000
"DP-1A",     -0.0833,     49.0000
"DP-1A",     -0.0833,     50.0000
"DP-1A",     -0.1042,     51.0000
"DP-1A",     -0.1250,     52.0000
"DP-1A",     -0.1458,     53.0000
"DP-1A",     -0.1875,     54.0000
"DP-1A",     -0.2292,     55.0000
"DP-1A",     -0.2917,     56.0000
"DP-1A",     -0.3750,     57.0000
"DP-1A",     -0.4583,     58.0000
"DP-1A",     -0.5625,     59.0000
"DP-1A",     -0.6875,     60.0000
"DP-1A",     -0.8333,     61.0000
"DP-1A",     -1.0000,     62.0000
"DP-1A",     -1.1250,     63.0000
"DP-1A",     -1.2500,     64.0000
"DP-1A",     -1.3750,     65.0000
"DP-1A",     -1.5000,     66.0000
"DP-1A",     -1.6250,     67.0000
"DP-1A",     -1.7708,     68.0000
"DP-1A",     -1.9167,     69.0000
"DP-1A",     -2.0417,     70.0000
"DP-1A",     -2.1875,     71.0000
"DP-1A",     -2.3333,     72.0000
"DP-1A",     -2.4583,     73.0000
"DP-1A",     -2.6042,     74.0000
"DP-1A",     -2.7292,     75.0000
"DP-1A",     -2.8542,     76.0000
"DP-1A",     -2.9792,     77.0000
"DP-1A",     -3.1250,     78.0000
"DP-1A",     -3.2708,     79.0000
"DP-1A",     -3.3958,     80.0000
"DP-1A",     -3.5000,     81.0000
"DP-1A",     -3.6667,     82.0000
"DP-1A",     -3.8125,     83.0000
"DP-1A",     -3.9167,     84.0000
"DP-1A",     -4.0417,     85.0000
"DP-1A",     -4.1458,     86.0000
"DP-1A",     -4.2708,     87.0000
"DP-1A",     -4.3958,     88.0000
"DP-1A",     -4.5417,     89.0000
"DP-1A",     -4.6458,     90.0000
"DP-1A",     -4.7708,     91.0000
"DP-1A",     -4.8958,     92.0000
"DP-1A",     -5.0208,     93.0000
"DP-1A",     -5.1458,     94.0000
"DP-1A",     -5.2500,     95.0000
"DP-1A",     -5.3958,     96.0000
"DP-1A",     -5.5625,     97.0000
"DP-1A",     -5.7083,     98.0000
"DP-1A",     -5.8750,     99.0000
"DP-1A",     -6.0000,    100.0000

