"           ","Deformation",    "Time"
"DP-6D",      0.0820,      0.0000
"DP-6D",      0.1025,      1.0000
"DP-6D",      0.1434,      2.0000
"DP-6D",      0.1639,      3.0000
"DP-6D",      0.2049,      4.0000
"DP-6D",      0.2254,      5.0000
"DP-6D",      0.2459,      6.0000
"DP-6D",      0.2664,      7.0000
"DP-6D",      0.2869,      8.0000
"DP-6D",      0.3074,      9.0000
"DP-6D",      0.3074,     10.0000
"DP-6D",      0.3074,     11.0000
"DP-6D",      0.3279,     12.0000
"DP-6D",      0.3279,     13.0000
"DP-6D",      0.3279,     14.0000
"DP-6D",      0.3279,     15.0000
"DP-6D",      0.3279,     16.0000
"DP-6D",      0.3279,     17.0000
"DP-6D",      0.3279,     18.0000
"DP-6D",      0.3279,     19.0000
"DP-6D",      0.3074,     20.0000
"DP-6D",      0.2869,     21.0000
"DP-6D",      0.2664,     22.0000
"DP-6D",      0.2664,     23.0000
"DP-6D",      0.2459,     24.0000
"DP-6D",      0.2254,     25.0000
"DP-6D",      0.1844,     26.0000
"DP-6D",      0.1434,     27.0000
"DP-6D",      0.1025,     28.0000
"DP-6D",      0.0820,     29.0000
"DP-6D",      0.0615,     30.0000
"DP-6D",      0.0410,     31.0000
"DP-6D",      0.0205,     32.0000
"DP-6D",      0.0000,     33.0000
"DP-6D",      0.0000,     34.0000
"DP-6D",      0.0000,     35.0000
"DP-6D",     -0.0205,     36.0000
"DP-6D",     -0.0205,     37.0000
"DP-6D",     -0.0205,     38.0000
"DP-6D",     -0.0205,     39.0000
"DP-6D",     -0.0205,     40.0000
"DP-6D",     -0.0205,     41.0000
"DP-6D",     -0.0410,     42.0000
"DP-6D",     -0.0410,     43.0000
"DP-6D",     -0.0615,     44.0000
"DP-6D",     -0.0820,     45.0000
"DP-6D",     -0.1025,     46.0000
"DP-6D",     -0.1434,     47.0000
"DP-6D",     -0.2049,     48.0000
"DP-6D",     -0.2664,     49.0000
"DP-6D",     -0.3484,     50.0000
"DP-6D",     -0.4303,     51.0000
"DP-6D",     -0.5533,     52.0000
"DP-6D",     -0.6762,     53.0000
"DP-6D",     -0.7992,     54.0000
"DP-6D",     -0.9221,     55.0000
"DP-6D",     -1.0451,     56.0000
"DP-6D",     -1.1680,     57.0000
"DP-6D",     -1.3115,     58.0000
"DP-6D",     -1.4549,     59.0000
"DP-6D",     -1.5779,     60.0000
"DP-6D",     -1.7213,     61.0000
"DP-6D",     -1.8443,     62.0000
"DP-6D",     -1.9877,     63.0000
"DP-6D",     -2.0902,     64.0000
"DP-6D",     -2.2131,     65.0000
"DP-6D",     -2.3361,     66.0000
"DP-6D",     -2.4385,     67.0000
"DP-6D",     -2.5615,     68.0000
"DP-6D",     -2.6639,     69.0000
"DP-6D",     -2.7869,     70.0000
"DP-6D",     -2.8893,     71.0000
"DP-6D",     -3.0123,     72.0000
"DP-6D",     -3.1148,     73.0000
"DP-6D",     -3.2172,     74.0000
"DP-6D",     -3.3197,     75.0000
"DP-6D",     -3.4221,     76.0000
"DP-6D",     -3.5041,     77.0000
"DP-6D",     -3.6066,     78.0000
"DP-6D",     -3.6885,     79.0000
"DP-6D",     -3.7705,     80.0000
"DP-6D",     -3.8525,     81.0000
"DP-6D",     -3.9344,     82.0000
"DP-6D",     -4.0164,     83.0000
"DP-6D",     -4.0984,     84.0000
"DP-6D",     -4.2008,     85.0000
"DP-6D",     -4.2623,     86.0000
"DP-6D",     -4.3443,     87.0000
"DP-6D",     -4.4262,     88.0000
"DP-6D",     -4.4877,     89.0000
"DP-6D",     -4.5697,     90.0000
"DP-6D",     -4.6516,     91.0000
"DP-6D",     -4.7131,     92.0000
"DP-6D",     -4.7951,     93.0000
"DP-6D",     -4.8566,     94.0000
"DP-6D",     -4.9180,     95.0000
"DP-6D",     -5.0000,     96.0000
"DP-6D",     -5.0615,     97.0000
"DP-6D",     -5.1025,     98.0000
"DP-6D",     -5.1639,     99.0000
"DP-6D",     -5.2254,    100.0000
"DP-6D",     -5.2664,    101.0000
"DP-6D",     -5.3484,    102.0000
"DP-6D",     -5.3893,    103.0000
"DP-6D",     -5.4508,    104.0000
"DP-6D",     -5.4918,    105.0000
"DP-6D",     -5.5328,    106.0000
"DP-6D",     -5.6148,    107.0000
"DP-6D",     -5.6557,    108.0000
"DP-6D",     -5.7377,    109.0000
"DP-6D",     -5.7787,    110.0000
"DP-6D",     -5.8607,    111.0000
"DP-6D",     -5.9221,    112.0000
"DP-6D",     -5.9836,    113.0000
"DP-6D",     -6.0000,    114.0000

