"           ","Deformation",    "Time"
"DP-6E",      0.0820,      0.0000
"DP-6E",      0.1230,      1.0000
"DP-6E",      0.1639,      2.0000
"DP-6E",      0.1844,      3.0000
"DP-6E",      0.2254,      4.0000
"DP-6E",      0.2664,      5.0000
"DP-6E",      0.2869,      6.0000
"DP-6E",      0.3074,      7.0000
"DP-6E",      0.3279,      8.0000
"DP-6E",      0.3484,      9.0000
"DP-6E",      0.3484,     10.0000
"DP-6E",      0.3484,     11.0000
"DP-6E",      0.3484,     12.0000
"DP-6E",      0.3689,     13.0000
"DP-6E",      0.3689,     14.0000
"DP-6E",      0.3689,     15.0000
"DP-6E",      0.3689,     16.0000
"DP-6E",      0.3689,     17.0000
"DP-6E",      0.3484,     18.0000
"DP-6E",      0.3279,     19.0000
"DP-6E",      0.3074,     20.0000
"DP-6E",      0.2664,     21.0000
"DP-6E",      0.2459,     22.0000
"DP-6E",      0.2049,     23.0000
"DP-6E",      0.1844,     24.0000
"DP-6E",      0.1434,     25.0000
"DP-6E",      0.1230,     26.0000
"DP-6E",      0.0820,     27.0000
"DP-6E",      0.0615,     28.0000
"DP-6E",      0.0410,     29.0000
"DP-6E",      0.0000,     30.0000
"DP-6E",     -0.0205,     31.0000
"DP-6E",     -0.0410,     32.0000
"DP-6E",     -0.0410,     33.0000
"DP-6E",     -0.0615,     34.0000
"DP-6E",     -0.0615,     35.0000
"DP-6E",     -0.0615,     36.0000
"DP-6E",     -0.0615,     37.0000
"DP-6E",     -0.0820,     38.0000
"DP-6E",     -0.0820,     39.0000
"DP-6E",     -0.0820,     40.0000
"DP-6E",     -0.1025,     41.0000
"DP-6E",     -0.1230,     42.0000
"DP-6E",     -0.1434,     43.0000
"DP-6E",     -0.1639,     44.0000
"DP-6E",     -0.1844,     45.0000
"DP-6E",     -0.2049,     46.0000
"DP-6E",     -0.2459,     47.0000
"DP-6E",     -0.3074,     48.0000
"DP-6E",     -0.3689,     49.0000
"DP-6E",     -0.4508,     50.0000
"DP-6E",     -0.5533,     51.0000
"DP-6E",     -0.6557,     52.0000
"DP-6E",     -0.7582,     53.0000
"DP-6E",     -0.8811,     54.0000
"DP-6E",     -1.0451,     55.0000
"DP-6E",     -1.1680,     56.0000
"DP-6E",     -1.3115,     57.0000
"DP-6E",     -1.4549,     58.0000
"DP-6E",     -1.5984,     59.0000
"DP-6E",     -1.7213,     60.0000
"DP-6E",     -1.8648,     61.0000
"DP-6E",     -2.0082,     62.0000
"DP-6E",     -2.1516,     63.0000
"DP-6E",     -2.2746,     64.0000
"DP-6E",     -2.4180,     65.0000
"DP-6E",     -2.5410,     66.0000
"DP-6E",     -2.6639,     67.0000
"DP-6E",     -2.7869,     68.0000
"DP-6E",     -2.8893,     69.0000
"DP-6E",     -3.0123,     70.0000
"DP-6E",     -3.1352,     71.0000
"DP-6E",     -3.2377,     72.0000
"DP-6E",     -3.3402,     73.0000
"DP-6E",     -3.4631,     74.0000
"DP-6E",     -3.5656,     75.0000
"DP-6E",     -3.6680,     76.0000
"DP-6E",     -3.7705,     77.0000
"DP-6E",     -3.8730,     78.0000
"DP-6E",     -3.9754,     79.0000
"DP-6E",     -4.0574,     80.0000
"DP-6E",     -4.1598,     81.0000
"DP-6E",     -4.2418,     82.0000
"DP-6E",     -4.3238,     83.0000
"DP-6E",     -4.4057,     84.0000
"DP-6E",     -4.4877,     85.0000
"DP-6E",     -4.5697,     86.0000
"DP-6E",     -4.6516,     87.0000
"DP-6E",     -4.7336,     88.0000
"DP-6E",     -4.7951,     89.0000
"DP-6E",     -4.8770,     90.0000
"DP-6E",     -4.9385,     91.0000
"DP-6E",     -5.0000,     92.0000
"DP-6E",     -5.1025,     93.0000
"DP-6E",     -5.1639,     94.0000
"DP-6E",     -5.2254,     95.0000
"DP-6E",     -5.2869,     96.0000
"DP-6E",     -5.3689,     97.0000
"DP-6E",     -5.4303,     98.0000
"DP-6E",     -5.5123,     99.0000
"DP-6E",     -5.5533,    100.0000
"DP-6E",     -5.6148,    101.0000
"DP-6E",     -5.6762,    102.0000
"DP-6E",     -5.7377,    103.0000
"DP-6E",     -5.8197,    104.0000
"DP-6E",     -5.8607,    105.0000
"DP-6E",     -5.9221,    106.0000
"DP-6E",     -5.9631,    107.0000
"DP-6E",     -6.0000,    108.0000

