"           ","Deformation",    "Time"
"DP-4B",      0.1033,      0.0000
"DP-4B",      0.1446,      1.0000
"DP-4B",      0.1653,      2.0000
"DP-4B",      0.2066,      3.0000
"DP-4B",      0.2273,      4.0000
"DP-4B",      0.2273,      5.0000
"DP-4B",      0.2479,      6.0000
"DP-4B",      0.2479,      7.0000
"DP-4B",      0.2479,      8.0000
"DP-4B",      0.2479,      9.0000
"DP-4B",      0.2686,     10.0000
"DP-4B",      0.2479,     11.0000
"DP-4B",      0.2066,     12.0000
"DP-4B",      0.0620,     13.0000
"DP-4B",     -0.1033,     14.0000
"DP-4B",     -0.2893,     15.0000
"DP-4B",     -0.4339,     16.0000
"DP-4B",     -0.5785,     17.0000
"DP-4B",     -0.7645,     18.0000
"DP-4B",     -0.9298,     19.0000
"DP-4B",     -1.0331,     20.0000
"DP-4B",     -1.1777,     21.0000
"DP-4B",     -1.3223,     22.0000
"DP-4B",     -1.4050,     23.0000
"DP-4B",     -1.5083,     24.0000
"DP-4B",     -1.6116,     25.0000
"DP-4B",     -1.7149,     26.0000
"DP-4B",     -1.7769,     27.0000
"DP-4B",     -1.9628,     28.0000
"DP-4B",     -6.0000,     29.0000

