"           ","Deformation",    "Time"
"DP-2B",      0.1033,      0.0000
"DP-2B",      0.1446,      1.0000
"DP-2B",      0.1860,      2.0000
"DP-2B",      0.2273,      3.0000
"DP-2B",      0.2479,      4.0000
"DP-2B",      0.2686,      5.0000
"DP-2B",      0.2686,      6.0000
"DP-2B",      0.2893,      7.0000
"DP-2B",      0.2893,      8.0000
"DP-2B",      0.2893,      9.0000
"DP-2B",      0.3099,     10.0000
"DP-2B",      0.3099,     11.0000
"DP-2B",      0.2686,     12.0000
"DP-2B",      0.1446,     13.0000
"DP-2B",     -0.0207,     14.0000
"DP-2B",     -0.1653,     15.0000
"DP-2B",     -0.3099,     16.0000
"DP-2B",     -0.3719,     17.0000
"DP-2B",     -0.4339,     18.0000
"DP-2B",     -0.4752,     19.0000
"DP-2B",     -0.5785,     20.0000
"DP-2B",     -0.6612,     21.0000
"DP-2B",     -0.7025,     22.0000
"DP-2B",     -0.7645,     23.0000
"DP-2B",     -0.8058,     24.0000
"DP-2B",     -0.8471,     25.0000
"DP-2B",     -0.8678,     26.0000
"DP-2B",     -0.9091,     27.0000
"DP-2B",     -0.9091,     28.0000
"DP-2B",     -0.9504,     29.0000
"DP-2B",     -0.9917,     30.0000
"DP-2B",     -1.0331,     31.0000
"DP-2B",     -1.0537,     32.0000
"DP-2B",     -1.1157,     33.0000
"DP-2B",     -1.1364,     34.0000
"DP-2B",     -1.1983,     35.0000
"DP-2B",     -1.2397,     36.0000
"DP-2B",     -1.2603,     37.0000
"DP-2B",     -1.3017,     38.0000
"DP-2B",     -1.3430,     39.0000
"DP-2B",     -1.4256,     40.0000
"DP-2B",     -1.4876,     41.0000
"DP-2B",     -1.5909,     42.0000
"DP-2B",     -1.6942,     43.0000
"DP-2B",     -1.8388,     44.0000
"DP-2B",     -2.0248,     45.0000
"DP-2B",     -2.2107,     46.0000
"DP-2B",     -2.4380,     47.0000
"DP-2B",     -2.6033,     48.0000
"DP-2B",     -2.7893,     49.0000
"DP-2B",     -2.9545,     50.0000
"DP-2B",     -3.1405,     51.0000
"DP-2B",     -3.3058,     52.0000
"DP-2B",     -3.5124,     53.0000
"DP-2B",     -3.6777,     54.0000
"DP-2B",     -3.8223,     55.0000
"DP-2B",     -4.0083,     56.0000
"DP-2B",     -4.1322,     57.0000
"DP-2B",     -4.3802,     58.0000
"DP-2B",     -4.5455,     59.0000
"DP-2B",     -4.7521,     60.0000
"DP-2B",     -4.9380,     61.0000
"DP-2B",     -5.1860,     62.0000
"DP-2B",     -5.4545,     63.0000
"DP-2B",     -5.6612,     64.0000
"DP-2B",     -5.9298,     65.0000
"DP-2B",     -6.0000,     66.0000

