"           ","Deformation",    "Time"
"DP-3B",      0.0847,      0.0000
"DP-3B",      0.1271,      1.0000
"DP-3B",      0.1695,      2.0000
"DP-3B",      0.1907,      3.0000
"DP-3B",      0.2119,      4.0000
"DP-3B",      0.2331,      5.0000
"DP-3B",      0.2542,      6.0000
"DP-3B",      0.2542,      7.0000
"DP-3B",      0.2542,      8.0000
"DP-3B",      0.2542,      9.0000
"DP-3B",      0.2542,     10.0000
"DP-3B",      0.1271,     11.0000
"DP-3B",     -0.0636,     12.0000
"DP-3B",     -0.2542,     13.0000
"DP-3B",     -0.5297,     14.0000
"DP-3B",     -0.7203,     15.0000
"DP-3B",     -0.9110,     16.0000
"DP-3B",     -1.0381,     17.0000
"DP-3B",     -1.0381,     18.0000
"DP-3B",     -1.1441,     19.0000
"DP-3B",     -1.3136,     20.0000
"DP-3B",     -1.3136,     21.0000
"DP-3B",     -1.4619,     22.0000
"DP-3B",     -1.5466,     23.0000
"DP-3B",     -1.6525,     24.0000
"DP-3B",     -1.7373,     25.0000
"DP-3B",     -1.7797,     26.0000
"DP-3B",     -1.8432,     27.0000
"DP-3B",     -1.8856,     28.0000
"DP-3B",     -1.9280,     29.0000
"DP-3B",     -1.9915,     30.0000
"DP-3B",     -2.0339,     31.0000
"DP-3B",     -2.0763,     32.0000
"DP-3B",     -2.0975,     33.0000
"DP-3B",     -2.1398,     34.0000
"DP-3B",     -2.2034,     35.0000
"DP-3B",     -2.3305,     36.0000
"DP-3B",     -2.3941,     37.0000
"DP-3B",     -2.4364,     38.0000
"DP-3B",     -2.4576,     39.0000
"DP-3B",     -2.7119,     40.0000
"DP-3B",     -2.8178,     41.0000
"DP-3B",     -3.3051,     42.0000
"DP-3B",     -3.8771,     43.0000
"DP-3B",     -4.6186,     44.0000
"DP-3B",     -5.5297,     45.0000
"DP-3B",     -6.0000,     46.0000

