"           ","Deformation",    "Time"
"DP-2A",      0.1033,      0.0000
"DP-2A",      0.1446,      1.0000
"DP-2A",      0.1653,      2.0000
"DP-2A",      0.1860,      3.0000
"DP-2A",      0.2066,      4.0000
"DP-2A",      0.2273,      5.0000
"DP-2A",      0.2479,      6.0000
"DP-2A",      0.2479,      7.0000
"DP-2A",      0.2479,      8.0000
"DP-2A",      0.2479,      9.0000
"DP-2A",      0.2479,     10.0000
"DP-2A",      0.2479,     11.0000
"DP-2A",      0.1860,     12.0000
"DP-2A",      0.0413,     13.0000
"DP-2A",     -0.1446,     14.0000
"DP-2A",     -0.3719,     15.0000
"DP-2A",     -0.5785,     16.0000
"DP-2A",     -0.7645,     17.0000
"DP-2A",     -0.9504,     18.0000
"DP-2A",     -1.1157,     19.0000
"DP-2A",     -1.2190,     20.0000
"DP-2A",     -1.3430,     21.0000
"DP-2A",     -1.4463,     22.0000
"DP-2A",     -1.5496,     23.0000
"DP-2A",     -1.6736,     24.0000
"DP-2A",     -1.7975,     25.0000
"DP-2A",     -1.8595,     26.0000
"DP-2A",     -1.9835,     27.0000
"DP-2A",     -2.1074,     28.0000
"DP-2A",     -2.3140,     29.0000
"DP-2A",     -6.0000,     30.0000

