"           ","Deformation",    "Time"
"DP-5C",      0.0847,      0.0000
"DP-5C",      0.1271,      1.0000
"DP-5C",      0.1695,      2.0000
"DP-5C",      0.1907,      3.0000
"DP-5C",      0.2119,      4.0000
"DP-5C",      0.2331,      5.0000
"DP-5C",      0.2542,      6.0000
"DP-5C",      0.2542,      7.0000
"DP-5C",      0.2754,      8.0000
"DP-5C",      0.2754,      9.0000
"DP-5C",      0.2754,     10.0000
"DP-5C",      0.2754,     11.0000
"DP-5C",      0.2331,     12.0000
"DP-5C",      0.1059,     13.0000
"DP-5C",     -0.0424,     14.0000
"DP-5C",     -0.1695,     15.0000
"DP-5C",     -0.2754,     16.0000
"DP-5C",     -0.3814,     17.0000
"DP-5C",     -0.4661,     18.0000
"DP-5C",     -0.5720,     19.0000
"DP-5C",     -0.6356,     20.0000
"DP-5C",     -0.7203,     21.0000
"DP-5C",     -0.7627,     22.0000
"DP-5C",     -0.8263,     23.0000
"DP-5C",     -0.8898,     24.0000
"DP-5C",     -0.9110,     25.0000
"DP-5C",     -0.9322,     26.0000
"DP-5C",     -0.9534,     27.0000
"DP-5C",     -0.9958,     28.0000
"DP-5C",     -1.0169,     29.0000
"DP-5C",     -1.0593,     30.0000
"DP-5C",     -1.0805,     31.0000
"DP-5C",     -1.0805,     32.0000
"DP-5C",     -1.1441,     33.0000
"DP-5C",     -1.1864,     34.0000
"DP-5C",     -1.2288,     35.0000
"DP-5C",     -1.2924,     36.0000
"DP-5C",     -1.3347,     37.0000
"DP-5C",     -1.3983,     38.0000
"DP-5C",     -1.4407,     39.0000
"DP-5C",     -1.5254,     40.0000
"DP-5C",     -1.6314,     41.0000
"DP-5C",     -1.7373,     42.0000
"DP-5C",     -1.9068,     43.0000
"DP-5C",     -2.1186,     44.0000
"DP-5C",     -2.3729,     45.0000
"DP-5C",     -2.6059,     46.0000
"DP-5C",     -2.9025,     47.0000
"DP-5C",     -3.1780,     48.0000
"DP-5C",     -3.6017,     49.0000
"DP-5C",     -4.1949,     50.0000
"DP-5C",     -5.0212,     51.0000
"DP-5C",     -6.0000,     52.0000

