"           ","Deformation",    "Time"
"DP-5D",      0.0847,      0.0000
"DP-5D",      0.1271,      1.0000
"DP-5D",      0.1483,      2.0000
"DP-5D",      0.1907,      3.0000
"DP-5D",      0.2119,      4.0000
"DP-5D",      0.2119,      5.0000
"DP-5D",      0.2331,      6.0000
"DP-5D",      0.2331,      7.0000
"DP-5D",      0.2331,      8.0000
"DP-5D",      0.2542,      9.0000
"DP-5D",      0.2542,     10.0000
"DP-5D",      0.2542,     11.0000
"DP-5D",      0.1483,     12.0000
"DP-5D",     -0.0636,     13.0000
"DP-5D",     -0.3178,     14.0000
"DP-5D",     -0.5720,     15.0000
"DP-5D",     -0.8051,     16.0000
"DP-5D",     -1.0593,     17.0000
"DP-5D",     -1.3136,     18.0000
"DP-5D",     -1.6949,     19.0000
"DP-5D",     -6.0000,     20.0000

