"           ","Deformation",    "Time"
"DP-5B",      0.0847,      0.0000
"DP-5B",      0.1271,      1.0000
"DP-5B",      0.1695,      2.0000
"DP-5B",      0.1907,      3.0000
"DP-5B",      0.2119,      4.0000
"DP-5B",      0.2331,      5.0000
"DP-5B",      0.2331,      6.0000
"DP-5B",      0.2542,      7.0000
"DP-5B",      0.2542,      8.0000
"DP-5B",      0.2542,      9.0000
"DP-5B",      0.2331,     10.0000
"DP-5B",      0.1271,     11.0000
"DP-5B",     -0.0424,     12.0000
"DP-5B",     -0.2119,     13.0000
"DP-5B",     -0.3602,     14.0000
"DP-5B",     -0.4873,     15.0000
"DP-5B",     -0.5932,     16.0000
"DP-5B",     -0.7203,     17.0000
"DP-5B",     -0.7839,     18.0000
"DP-5B",     -0.8898,     19.0000
"DP-5B",     -0.9958,     20.0000
"DP-5B",     -1.0593,     21.0000
"DP-5B",     -1.1229,     22.0000
"DP-5B",     -1.1864,     23.0000
"DP-5B",     -1.2076,     24.0000
"DP-5B",     -1.2712,     25.0000
"DP-5B",     -1.3347,     26.0000
"DP-5B",     -1.3983,     27.0000
"DP-5B",     -1.4407,     28.0000
"DP-5B",     -1.5042,     29.0000
"DP-5B",     -1.5466,     30.0000
"DP-5B",     -1.5890,     31.0000
"DP-5B",     -1.6525,     32.0000
"DP-5B",     -1.6525,     33.0000
"DP-5B",     -1.6737,     34.0000
"DP-5B",     -1.6949,     35.0000
"DP-5B",     -1.7161,     36.0000
"DP-5B",     -1.7797,     37.0000
"DP-5B",     -1.9068,     38.0000
"DP-5B",     -1.9915,     39.0000
"DP-5B",     -2.1610,     40.0000
"DP-5B",     -2.3305,     41.0000
"DP-5B",     -2.5424,     42.0000
"DP-5B",     -2.7542,     43.0000
"DP-5B",     -3.0085,     44.0000
"DP-5B",     -3.2203,     45.0000
"DP-5B",     -3.5381,     46.0000
"DP-5B",     -3.8559,     47.0000
"DP-5B",     -4.1525,     48.0000
"DP-5B",     -4.5127,     49.0000
"DP-5B",     -4.7881,     50.0000
"DP-5B",     -5.0847,     51.0000
"DP-5B",     -5.5085,     52.0000
"DP-5B",     -5.9534,     53.0000
"DP-5B",     -6.0000,     54.0000

