"           ","Deformation",    "Time"
"DP-5A",      0.1059,      0.0000
"DP-5A",      0.1483,      1.0000
"DP-5A",      0.1907,      2.0000
"DP-5A",      0.2119,      3.0000
"DP-5A",      0.2542,      4.0000
"DP-5A",      0.2754,      5.0000
"DP-5A",      0.2966,      6.0000
"DP-5A",      0.2966,      7.0000
"DP-5A",      0.3178,      8.0000
"DP-5A",      0.3178,      9.0000
"DP-5A",      0.3178,     10.0000
"DP-5A",      0.3178,     11.0000
"DP-5A",      0.3178,     12.0000
"DP-5A",      0.2754,     13.0000
"DP-5A",      0.1271,     14.0000
"DP-5A",     -0.0424,     15.0000
"DP-5A",     -0.1483,     16.0000
"DP-5A",     -0.2542,     17.0000
"DP-5A",     -0.3390,     18.0000
"DP-5A",     -0.4237,     19.0000
"DP-5A",     -0.5297,     20.0000
"DP-5A",     -0.5932,     21.0000
"DP-5A",     -0.6356,     22.0000
"DP-5A",     -0.6992,     23.0000
"DP-5A",     -0.7415,     24.0000
"DP-5A",     -0.7415,     25.0000
"DP-5A",     -0.8051,     26.0000
"DP-5A",     -0.8263,     27.0000
"DP-5A",     -0.8263,     28.0000
"DP-5A",     -0.8475,     29.0000
"DP-5A",     -0.8686,     30.0000
"DP-5A",     -0.8898,     31.0000
"DP-5A",     -0.9322,     32.0000
"DP-5A",     -0.9534,     33.0000
"DP-5A",     -0.9746,     34.0000
"DP-5A",     -0.9746,     35.0000
"DP-5A",     -0.9958,     36.0000
"DP-5A",     -0.9958,     37.0000
"DP-5A",     -1.0381,     38.0000
"DP-5A",     -1.0381,     39.0000
"DP-5A",     -1.0805,     40.0000
"DP-5A",     -1.1229,     41.0000
"DP-5A",     -1.1653,     42.0000
"DP-5A",     -1.2288,     43.0000
"DP-5A",     -1.2924,     44.0000
"DP-5A",     -1.3347,     45.0000
"DP-5A",     -1.4195,     46.0000
"DP-5A",     -1.4619,     47.0000
"DP-5A",     -1.5042,     48.0000
"DP-5A",     -1.5678,     49.0000
"DP-5A",     -1.6737,     50.0000
"DP-5A",     -1.7797,     51.0000
"DP-5A",     -1.8856,     52.0000
"DP-5A",     -2.0127,     53.0000
"DP-5A",     -2.1186,     54.0000
"DP-5A",     -2.2458,     55.0000
"DP-5A",     -2.3729,     56.0000
"DP-5A",     -2.5000,     57.0000
"DP-5A",     -2.6271,     58.0000
"DP-5A",     -2.7542,     59.0000
"DP-5A",     -2.8814,     60.0000
"DP-5A",     -3.0085,     61.0000
"DP-5A",     -3.0508,     62.0000
"DP-5A",     -3.1992,     63.0000
"DP-5A",     -3.3263,     64.0000
"DP-5A",     -3.4534,     65.0000
"DP-5A",     -3.6017,     66.0000
"DP-5A",     -3.6864,     67.0000
"DP-5A",     -3.8559,     68.0000
"DP-5A",     -3.9831,     69.0000
"DP-5A",     -4.1314,     70.0000
"DP-5A",     -4.2373,     71.0000
"DP-5A",     -4.3644,     72.0000
"DP-5A",     -4.4915,     73.0000
"DP-5A",     -4.5975,     74.0000
"DP-5A",     -4.7458,     75.0000
"DP-5A",     -4.8729,     76.0000
"DP-5A",     -4.9788,     77.0000
"DP-5A",     -5.1483,     78.0000
"DP-5A",     -5.2754,     79.0000
"DP-5A",     -5.4237,     80.0000
"DP-5A",     -5.5508,     81.0000
"DP-5A",     -5.6992,     82.0000
"DP-5A",     -5.8898,     83.0000
"DP-5A",     -6.0000,     84.0000

