"           ","Deformation",    "Time"
"DP-4D",      0.1033,      0.0000
"DP-4D",      0.1446,      1.0000
"DP-4D",      0.1860,      2.0000
"DP-4D",      0.2066,      3.0000
"DP-4D",      0.2273,      4.0000
"DP-4D",      0.2479,      5.0000
"DP-4D",      0.2479,      6.0000
"DP-4D",      0.2479,      7.0000
"DP-4D",      0.2686,      8.0000
"DP-4D",      0.2686,      9.0000
"DP-4D",      0.2686,     10.0000
"DP-4D",      0.2479,     11.0000
"DP-4D",      0.1446,     12.0000
"DP-4D",     -0.0826,     13.0000
"DP-4D",     -0.3512,     14.0000
"DP-4D",     -0.5992,     15.0000
"DP-4D",     -0.7851,     16.0000
"DP-4D",     -0.9298,     17.0000
"DP-4D",     -1.1777,     18.0000
"DP-4D",     -1.3843,     19.0000
"DP-4D",     -1.5496,     20.0000
"DP-4D",     -1.7355,     21.0000
"DP-4D",     -1.9215,     22.0000
"DP-4D",     -2.0455,     23.0000
"DP-4D",     -2.1074,     24.0000
"DP-4D",     -2.2314,     25.0000
"DP-4D",     -2.4587,     26.0000
"DP-4D",     -6.0000,     27.0000

