"           ","Deformation",    "Time"
"DP-3A",      0.0847,      0.0000
"DP-3A",      0.1483,      1.0000
"DP-3A",      0.1907,      2.0000
"DP-3A",      0.2119,      3.0000
"DP-3A",      0.2331,      4.0000
"DP-3A",      0.2542,      5.0000
"DP-3A",      0.2754,      6.0000
"DP-3A",      0.2966,      7.0000
"DP-3A",      0.2966,      8.0000
"DP-3A",      0.2966,      9.0000
"DP-3A",      0.3178,     10.0000
"DP-3A",      0.3178,     11.0000
"DP-3A",      0.2754,     12.0000
"DP-3A",      0.1695,     13.0000
"DP-3A",      0.0000,     14.0000
"DP-3A",     -0.2331,     15.0000
"DP-3A",     -0.4237,     16.0000
"DP-3A",     -0.5720,     17.0000
"DP-3A",     -0.6992,     18.0000
"DP-3A",     -0.8475,     19.0000
"DP-3A",     -0.9534,     20.0000
"DP-3A",     -1.0381,     21.0000
"DP-3A",     -1.1441,     22.0000
"DP-3A",     -1.2500,     23.0000
"DP-3A",     -1.2924,     24.0000
"DP-3A",     -1.3559,     25.0000
"DP-3A",     -1.3983,     26.0000
"DP-3A",     -1.4831,     27.0000
"DP-3A",     -1.5254,     28.0000
"DP-3A",     -1.5890,     29.0000
"DP-3A",     -1.6314,     30.0000
"DP-3A",     -1.6737,     31.0000
"DP-3A",     -1.7161,     32.0000
"DP-3A",     -1.7585,     33.0000
"DP-3A",     -1.8008,     34.0000
"DP-3A",     -1.8644,     35.0000
"DP-3A",     -1.9280,     36.0000
"DP-3A",     -1.9915,     37.0000
"DP-3A",     -2.0339,     38.0000
"DP-3A",     -2.1186,     39.0000
"DP-3A",     -2.2034,     40.0000
"DP-3A",     -2.3093,     41.0000
"DP-3A",     -2.4364,     42.0000
"DP-3A",     -2.6059,     43.0000
"DP-3A",     -2.7966,     44.0000
"DP-3A",     -3.0508,     45.0000
"DP-3A",     -3.3051,     46.0000
"DP-3A",     -3.6864,     47.0000
"DP-3A",     -4.0890,     48.0000
"DP-3A",     -4.5975,     49.0000
"DP-3A",     -5.0424,     50.0000
"DP-3A",     -5.5932,     51.0000
"DP-3A",     -6.0000,     52.0000

