"           ","Deformation",    "Time"
"DP-1A",      0.1033,      0.0000
"DP-1A",      0.1446,      1.0000
"DP-1A",      0.2066,      2.0000
"DP-1A",      0.2273,      3.0000
"DP-1A",      0.2479,      4.0000
"DP-1A",      0.2686,      5.0000
"DP-1A",      0.2893,      6.0000
"DP-1A",      0.2893,      7.0000
"DP-1A",      0.2893,      8.0000
"DP-1A",      0.2893,      9.0000
"DP-1A",      0.2893,     10.0000
"DP-1A",      0.2893,     11.0000
"DP-1A",      0.2686,     12.0000
"DP-1A",      0.1860,     13.0000
"DP-1A",      0.0413,     14.0000
"DP-1A",     -0.2066,     15.0000
"DP-1A",     -0.4339,     16.0000
"DP-1A",     -0.6818,     17.0000
"DP-1A",     -0.8678,     18.0000
"DP-1A",     -1.1157,     19.0000
"DP-1A",     -1.3223,     20.0000
"DP-1A",     -1.5702,     21.0000
"DP-1A",     -1.8182,     22.0000
"DP-1A",     -2.0041,     23.0000
"DP-1A",     -2.3760,     24.0000
"DP-1A",     -6.0000,     25.0000

