"           ","Deformation",    "Time"
"DP-4C",      0.0826,      0.0000
"DP-4C",      0.1240,      1.0000
"DP-4C",      0.1653,      2.0000
"DP-4C",      0.1860,      3.0000
"DP-4C",      0.2066,      4.0000
"DP-4C",      0.2066,      5.0000
"DP-4C",      0.2273,      6.0000
"DP-4C",      0.2273,      7.0000
"DP-4C",      0.2273,      8.0000
"DP-4C",      0.2273,      9.0000
"DP-4C",      0.2479,     10.0000
"DP-4C",      0.2273,     11.0000
"DP-4C",      0.1860,     12.0000
"DP-4C",      0.0620,     13.0000
"DP-4C",     -0.1446,     14.0000
"DP-4C",     -0.3306,     15.0000
"DP-4C",     -0.4752,     16.0000
"DP-4C",     -0.6612,     17.0000
"DP-4C",     -0.8264,     18.0000
"DP-4C",     -0.9298,     19.0000
"DP-4C",     -1.0744,     20.0000
"DP-4C",     -1.1777,     21.0000
"DP-4C",     -1.2603,     22.0000
"DP-4C",     -1.3223,     23.0000
"DP-4C",     -1.4050,     24.0000
"DP-4C",     -1.4876,     25.0000
"DP-4C",     -1.5496,     26.0000
"DP-4C",     -1.6116,     27.0000
"DP-4C",     -1.6116,     28.0000
"DP-4C",     -1.6322,     29.0000
"DP-4C",     -1.7562,     30.0000
"DP-4C",     -1.9008,     31.0000
"DP-4C",     -6.0000,     32.0000

