"           ","Deformation",    "Time"
"DP-2D",      0.0847,      0.0000
"DP-2D",      0.1271,      1.0000
"DP-2D",      0.1695,      2.0000
"DP-2D",      0.1695,      3.0000
"DP-2D",      0.1907,      4.0000
"DP-2D",      0.1907,      5.0000
"DP-2D",      0.2119,      6.0000
"DP-2D",      0.2119,      7.0000
"DP-2D",      0.2119,      8.0000
"DP-2D",      0.2119,      9.0000
"DP-2D",      0.2119,     10.0000
"DP-2D",      0.1483,     11.0000
"DP-2D",     -0.0424,     12.0000
"DP-2D",     -0.3178,     13.0000
"DP-2D",     -0.5297,     14.0000
"DP-2D",     -0.7415,     15.0000
"DP-2D",     -0.9958,     16.0000
"DP-2D",     -1.2076,     17.0000
"DP-2D",     -1.3771,     18.0000
"DP-2D",     -1.5254,     19.0000
"DP-2D",     -1.6737,     20.0000
"DP-2D",     -1.8008,     21.0000
"DP-2D",     -1.8856,     22.0000
"DP-2D",     -1.9703,     23.0000
"DP-2D",     -2.0551,     24.0000
"DP-2D",     -2.3093,     25.0000
"DP-2D",     -6.0000,     26.0000

