"           ","Deformation",    "Time"
"DP-4B",      0.0641,      0.0000
"DP-4B",      0.0855,      1.0000
"DP-4B",      0.0855,      2.0000
"DP-4B",      0.0855,      3.0000
"DP-4B",      0.0855,      4.0000
"DP-4B",      0.0855,      5.0000
"DP-4B",      0.0855,      6.0000
"DP-4B",      0.0855,      7.0000
"DP-4B",      0.0427,      8.0000
"DP-4B",     -0.0214,      9.0000
"DP-4B",     -0.1496,     10.0000
"DP-4B",     -0.3419,     11.0000
"DP-4B",     -0.5128,     12.0000
"DP-4B",     -0.7051,     13.0000
"DP-4B",     -0.8333,     14.0000
"DP-4B",     -1.0256,     15.0000
"DP-4B",     -1.1752,     16.0000
"DP-4B",     -1.3034,     17.0000
"DP-4B",     -1.4103,     18.0000
"DP-4B",     -1.5171,     19.0000
"DP-4B",     -1.6453,     20.0000
"DP-4B",     -1.7308,     21.0000
"DP-4B",     -1.7735,     22.0000
"DP-4B",     -1.7949,     23.0000
"DP-4B",     -1.8376,     24.0000
"DP-4B",     -1.8590,     25.0000
"DP-4B",     -1.9231,     26.0000
"DP-4B",     -1.9872,     27.0000
"DP-4B",     -2.0085,     28.0000
"DP-4B",     -2.0940,     29.0000
"DP-4B",     -2.1368,     30.0000
"DP-4B",     -2.1795,     31.0000
"DP-4B",     -2.2009,     32.0000
"DP-4B",     -2.2650,     33.0000
"DP-4B",     -2.3291,     34.0000
"DP-4B",     -2.3932,     35.0000
"DP-4B",     -2.5000,     36.0000
"DP-4B",     -2.5641,     37.0000
"DP-4B",     -2.6282,     38.0000
"DP-4B",     -2.7137,     39.0000
"DP-4B",     -2.8205,     40.0000
"DP-4B",     -2.9060,     41.0000
"DP-4B",     -3.0342,     42.0000
"DP-4B",     -3.1838,     43.0000
"DP-4B",     -3.3761,     44.0000
"DP-4B",     -3.5897,     45.0000
"DP-4B",     -3.8034,     46.0000
"DP-4B",     -4.0598,     47.0000
"DP-4B",     -4.3162,     48.0000
"DP-4B",     -4.6154,     49.0000
"DP-4B",     -4.8718,     50.0000
"DP-4B",     -5.1923,     51.0000
"DP-4B",     -5.5983,     52.0000
"DP-4B",     -5.9402,     53.0000
"DP-4B",     -6.0000,     54.0000

