"           ","Deformation",    "Time"
"DP-3B",      0.0647,      0.0000
"DP-3B",      0.0862,      1.0000
"DP-3B",      0.1078,      2.0000
"DP-3B",      0.1078,      3.0000
"DP-3B",      0.0000,      4.0000
"DP-3B",      0.0000,      5.0000
"DP-3B",      0.0000,      6.0000
"DP-3B",      0.0000,      7.0000
"DP-3B",      0.0000,      8.0000
"DP-3B",      0.0000,      9.0000
"DP-3B",      0.0000,     10.0000
"DP-3B",      0.0000,     11.0000
"DP-3B",      0.0000,     12.0000
"DP-3B",      0.0000,     13.0000
"DP-3B",      0.0000,     14.0000
"DP-3B",      0.0000,     15.0000
"DP-3B",     -1.7026,     16.0000
"DP-3B",     -1.8966,     17.0000
"DP-3B",     -2.0690,     18.0000
"DP-3B",     -2.2414,     19.0000
"DP-3B",     -2.4138,     20.0000
"DP-3B",     -2.6078,     21.0000
"DP-3B",     -2.7371,     22.0000
"DP-3B",     -2.8664,     23.0000
"DP-3B",     -2.9957,     24.0000
"DP-3B",     -3.0819,     25.0000
"DP-3B",     -3.1681,     26.0000
"DP-3B",     -3.2543,     27.0000
"DP-3B",     -3.2974,     28.0000
"DP-3B",     -3.4267,     29.0000
"DP-3B",     -3.5560,     30.0000
"DP-3B",     -3.6853,     31.0000
"DP-3B",     -3.7716,     32.0000
"DP-3B",     -3.8578,     33.0000
"DP-3B",     -4.0733,     34.0000
"DP-3B",     -4.8060,     35.0000
"DP-3B",     -6.0000,     36.0000

