"           ","Deformation",    "Time"
"DP-5C",      0.0641,      0.0000
"DP-5C",      0.0641,      1.0000
"DP-5C",      0.0855,      2.0000
"DP-5C",      0.0855,      3.0000
"DP-5C",      0.0855,      4.0000
"DP-5C",      0.0855,      5.0000
"DP-5C",      0.0855,      6.0000
"DP-5C",      0.0855,      7.0000
"DP-5C",      0.0855,      8.0000
"DP-5C",      0.0214,      9.0000
"DP-5C",     -0.1496,     10.0000
"DP-5C",     -0.3846,     11.0000
"DP-5C",     -0.6410,     12.0000
"DP-5C",     -0.8547,     13.0000
"DP-5C",     -1.0470,     14.0000
"DP-5C",     -1.2179,     15.0000
"DP-5C",     -1.4316,     16.0000
"DP-5C",     -1.4744,     17.0000
"DP-5C",     -1.5812,     18.0000
"DP-5C",     -1.6880,     19.0000
"DP-5C",     -1.7094,     20.0000
"DP-5C",     -1.7521,     21.0000
"DP-5C",     -1.8590,     22.0000
"DP-5C",     -1.9444,     23.0000
"DP-5C",     -1.9658,     24.0000
"DP-5C",     -1.9658,     25.0000
"DP-5C",     -1.9872,     26.0000
"DP-5C",     -2.0299,     27.0000
"DP-5C",     -2.0726,     28.0000
"DP-5C",     -2.1154,     29.0000
"DP-5C",     -2.1581,     30.0000
"DP-5C",     -2.2009,     31.0000
"DP-5C",     -2.2650,     32.0000
"DP-5C",     -2.3077,     33.0000
"DP-5C",     -2.3291,     34.0000
"DP-5C",     -2.4145,     35.0000
"DP-5C",     -2.4573,     36.0000
"DP-5C",     -2.5214,     37.0000
"DP-5C",     -2.5855,     38.0000
"DP-5C",     -2.6496,     39.0000
"DP-5C",     -2.7137,     40.0000
"DP-5C",     -2.7991,     41.0000
"DP-5C",     -2.9487,     42.0000
"DP-5C",     -3.0983,     43.0000
"DP-5C",     -3.2051,     44.0000
"DP-5C",     -3.3333,     45.0000
"DP-5C",     -3.5256,     46.0000
"DP-5C",     -3.7393,     47.0000
"DP-5C",     -3.9530,     48.0000
"DP-5C",     -4.1453,     49.0000
"DP-5C",     -4.3162,     50.0000
"DP-5C",     -4.6795,     51.0000
"DP-5C",     -4.9145,     52.0000
"DP-5C",     -5.2778,     53.0000
"DP-5C",     -5.5342,     54.0000
"DP-5C",     -5.8333,     55.0000
"DP-5C",     -6.0000,     56.0000

