"           ","Deformation",    "Time"
"DP-2A",      0.0926,      0.0000
"DP-2A",      0.1157,      1.0000
"DP-2A",      0.1157,      2.0000
"DP-2A",      0.1389,      3.0000
"DP-2A",      0.1157,      4.0000
"DP-2A",      0.1389,      5.0000
"DP-2A",      0.1389,      6.0000
"DP-2A",      0.1389,      7.0000
"DP-2A",      0.1389,      8.0000
"DP-2A",      0.1389,      9.0000
"DP-2A",      0.0926,     10.0000
"DP-2A",     -0.0694,     11.0000
"DP-2A",     -0.3241,     12.0000
"DP-2A",     -0.5787,     13.0000
"DP-2A",     -0.7870,     14.0000
"DP-2A",     -0.9491,     15.0000
"DP-2A",     -1.1343,     16.0000
"DP-2A",     -1.2500,     17.0000
"DP-2A",     -1.4120,     18.0000
"DP-2A",     -1.5278,     19.0000
"DP-2A",     -1.6667,     20.0000
"DP-2A",     -1.8056,     21.0000
"DP-2A",     -1.8981,     22.0000
"DP-2A",     -1.9676,     23.0000
"DP-2A",     -2.1065,     24.0000
"DP-2A",     -2.1296,     25.0000
"DP-2A",     -2.1528,     26.0000
"DP-2A",     -2.2222,     27.0000
"DP-2A",     -2.2917,     28.0000
"DP-2A",     -2.3148,     29.0000
"DP-2A",     -2.3611,     30.0000
"DP-2A",     -2.4306,     31.0000
"DP-2A",     -2.4537,     32.0000
"DP-2A",     -2.5231,     33.0000
"DP-2A",     -2.5463,     34.0000
"DP-2A",     -2.6157,     35.0000
"DP-2A",     -2.6620,     36.0000
"DP-2A",     -2.7315,     37.0000
"DP-2A",     -2.7546,     38.0000
"DP-2A",     -2.7546,     39.0000
"DP-2A",     -2.8704,     40.0000
"DP-2A",     -2.9630,     41.0000
"DP-2A",     -3.0556,     42.0000
"DP-2A",     -3.1481,     43.0000
"DP-2A",     -3.2407,     44.0000
"DP-2A",     -3.3333,     45.0000
"DP-2A",     -3.4491,     46.0000
"DP-2A",     -3.6343,     47.0000
"DP-2A",     -3.8194,     48.0000
"DP-2A",     -4.0046,     49.0000
"DP-2A",     -4.1667,     50.0000
"DP-2A",     -4.3287,     51.0000
"DP-2A",     -4.5139,     52.0000
"DP-2A",     -4.6759,     53.0000
"DP-2A",     -4.8148,     54.0000
"DP-2A",     -5.0000,     55.0000
"DP-2A",     -5.1620,     56.0000
"DP-2A",     -5.3472,     57.0000
"DP-2A",     -5.4861,     58.0000
"DP-2A",     -5.6944,     59.0000
"DP-2A",     -5.8565,     60.0000
"DP-2A",     -6.0000,     61.0000

