"           ","Deformation",    "Time"
"DP-5A",      0.0641,      0.0000
"DP-5A",      0.0641,      1.0000
"DP-5A",      0.0641,      2.0000
"DP-5A",      0.0641,      3.0000
"DP-5A",      0.0855,      4.0000
"DP-5A",      0.0855,      5.0000
"DP-5A",      0.0855,      6.0000
"DP-5A",      0.0855,      7.0000
"DP-5A",      0.0214,      8.0000
"DP-5A",     -0.1496,      9.0000
"DP-5A",     -0.3846,     10.0000
"DP-5A",     -0.6197,     11.0000
"DP-5A",     -0.8333,     12.0000
"DP-5A",     -1.0256,     13.0000
"DP-5A",     -1.2607,     14.0000
"DP-5A",     -1.4530,     15.0000
"DP-5A",     -1.6026,     16.0000
"DP-5A",     -1.7308,     17.0000
"DP-5A",     -1.8590,     18.0000
"DP-5A",     -2.0299,     19.0000
"DP-5A",     -2.1368,     20.0000
"DP-5A",     -2.2650,     21.0000
"DP-5A",     -2.3291,     22.0000
"DP-5A",     -2.4145,     23.0000
"DP-5A",     -2.5000,     24.0000
"DP-5A",     -2.5000,     25.0000
"DP-5A",     -2.5000,     26.0000
"DP-5A",     -2.5427,     27.0000
"DP-5A",     -2.6496,     28.0000
"DP-5A",     -2.7564,     29.0000
"DP-5A",     -2.8632,     30.0000
"DP-5A",     -3.0983,     31.0000
"DP-5A",     -6.0000,     32.0000

