"           ","Deformation",    "Time"
"DP-2C",      0.0463,      0.0000
"DP-2C",      0.0694,      1.0000
"DP-2C",      0.0694,      2.0000
"DP-2C",      0.0694,      3.0000
"DP-2C",      0.0694,      4.0000
"DP-2C",      0.0694,      5.0000
"DP-2C",      0.0231,      6.0000
"DP-2C",     -0.0694,      7.0000
"DP-2C",     -0.3009,      8.0000
"DP-2C",     -0.5787,      9.0000
"DP-2C",     -0.8796,     10.0000
"DP-2C",     -1.1574,     11.0000
"DP-2C",     -1.3889,     12.0000
"DP-2C",     -1.5972,     13.0000
"DP-2C",     -1.8056,     14.0000
"DP-2C",     -1.9676,     15.0000
"DP-2C",     -2.1065,     16.0000
"DP-2C",     -2.2454,     17.0000
"DP-2C",     -2.3843,     18.0000
"DP-2C",     -2.4769,     19.0000
"DP-2C",     -2.5463,     20.0000
"DP-2C",     -2.5694,     21.0000
"DP-2C",     -2.5926,     22.0000
"DP-2C",     -2.5926,     23.0000
"DP-2C",     -2.5694,     24.0000
"DP-2C",     -2.6157,     25.0000
"DP-2C",     -2.6389,     26.0000
"DP-2C",     -2.7315,     27.0000
"DP-2C",     -2.7778,     28.0000
"DP-2C",     -2.8472,     29.0000
"DP-2C",     -2.8704,     30.0000
"DP-2C",     -2.9398,     31.0000
"DP-2C",     -2.9861,     32.0000
"DP-2C",     -3.0556,     33.0000
"DP-2C",     -3.0787,     34.0000
"DP-2C",     -3.1481,     35.0000
"DP-2C",     -3.1944,     36.0000
"DP-2C",     -3.2407,     37.0000
"DP-2C",     -3.3565,     38.0000
"DP-2C",     -3.4259,     39.0000
"DP-2C",     -3.5417,     40.0000
"DP-2C",     -3.7037,     41.0000
"DP-2C",     -3.8194,     42.0000
"DP-2C",     -4.0046,     43.0000
"DP-2C",     -4.2130,     44.0000
"DP-2C",     -4.4213,     45.0000
"DP-2C",     -4.7454,     46.0000
"DP-2C",     -5.6250,     47.0000
"DP-2C",     -6.0000,     48.0000

