"           ","Deformation",    "Time"
"DP-3C",     -0.1282,      0.0000
"DP-3C",     -0.2778,      1.0000
"DP-3C",     -0.5342,      2.0000
"DP-3C",     -0.7906,      3.0000
"DP-3C",     -1.0256,      4.0000
"DP-3C",     -1.2179,      5.0000
"DP-3C",     -1.3675,      6.0000
"DP-3C",     -1.5598,      7.0000
"DP-3C",     -1.7094,      8.0000
"DP-3C",     -1.8376,      9.0000
"DP-3C",     -1.9658,     10.0000
"DP-3C",     -2.0940,     11.0000
"DP-3C",     -2.1795,     12.0000
"DP-3C",     -2.2009,     13.0000
"DP-3C",     -2.2009,     14.0000
"DP-3C",     -2.2222,     15.0000
"DP-3C",     -2.2222,     16.0000
"DP-3C",     -2.2650,     17.0000
"DP-3C",     -2.3077,     18.0000
"DP-3C",     -2.3077,     19.0000
"DP-3C",     -2.3504,     20.0000
"DP-3C",     -2.3932,     21.0000
"DP-3C",     -2.4359,     22.0000
"DP-3C",     -2.4573,     23.0000
"DP-3C",     -2.4786,     24.0000
"DP-3C",     -2.5000,     25.0000
"DP-3C",     -2.6282,     26.0000
"DP-3C",     -2.6496,     27.0000
"DP-3C",     -2.6709,     28.0000
"DP-3C",     -2.6923,     29.0000
"DP-3C",     -2.7564,     30.0000
"DP-3C",     -2.8205,     31.0000
"DP-3C",     -2.8632,     32.0000
"DP-3C",     -2.9274,     33.0000
"DP-3C",     -3.0342,     34.0000
"DP-3C",     -3.1624,     35.0000
"DP-3C",     -3.3547,     36.0000
"DP-3C",     -3.5470,     37.0000
"DP-3C",     -3.7607,     38.0000
"DP-3C",     -3.9316,     39.0000
"DP-3C",     -4.1026,     40.0000
"DP-3C",     -4.2521,     41.0000
"DP-3C",     -4.4444,     42.0000
"DP-3C",     -4.6368,     43.0000
"DP-3C",     -5.3205,     44.0000
"DP-3C",     -6.0000,     45.0000

