"           ","Deformation",    "Time"
"DP-2B",      0.0694,      0.0000
"DP-2B",      0.0926,      1.0000
"DP-2B",      0.0694,      2.0000
"DP-2B",      0.0926,      3.0000
"DP-2B",      0.0926,      4.0000
"DP-2B",      0.0926,      5.0000
"DP-2B",      0.0926,      6.0000
"DP-2B",      0.0926,      7.0000
"DP-2B",      0.0463,      8.0000
"DP-2B",      0.0000,      9.0000
"DP-2B",     -0.0926,     10.0000
"DP-2B",     -0.3472,     11.0000
"DP-2B",     -0.6250,     12.0000
"DP-2B",     -0.8333,     13.0000
"DP-2B",     -1.0880,     14.0000
"DP-2B",     -1.2731,     15.0000
"DP-2B",     -1.3889,     16.0000
"DP-2B",     -1.5509,     17.0000
"DP-2B",     -1.6898,     18.0000
"DP-2B",     -1.7824,     19.0000
"DP-2B",     -1.9213,     20.0000
"DP-2B",     -2.0370,     21.0000
"DP-2B",     -2.1065,     22.0000
"DP-2B",     -2.1991,     23.0000
"DP-2B",     -2.2917,     24.0000
"DP-2B",     -2.3380,     25.0000
"DP-2B",     -2.4306,     26.0000
"DP-2B",     -2.5000,     27.0000
"DP-2B",     -2.5694,     28.0000
"DP-2B",     -2.5926,     29.0000
"DP-2B",     -2.6389,     30.0000
"DP-2B",     -2.6620,     31.0000
"DP-2B",     -2.6852,     32.0000
"DP-2B",     -2.8241,     33.0000
"DP-2B",     -2.8472,     34.0000
"DP-2B",     -2.9167,     35.0000
"DP-2B",     -2.9861,     36.0000
"DP-2B",     -3.0093,     37.0000
"DP-2B",     -3.0556,     38.0000
"DP-2B",     -3.1250,     39.0000
"DP-2B",     -3.2176,     40.0000
"DP-2B",     -3.2639,     41.0000
"DP-2B",     -3.3102,     42.0000
"DP-2B",     -3.4259,     43.0000
"DP-2B",     -3.5185,     44.0000
"DP-2B",     -3.6806,     45.0000
"DP-2B",     -3.8657,     46.0000
"DP-2B",     -4.0509,     47.0000
"DP-2B",     -4.2593,     48.0000
"DP-2B",     -4.4676,     49.0000
"DP-2B",     -4.6528,     50.0000
"DP-2B",     -4.7917,     51.0000
"DP-2B",     -4.9769,     52.0000
"DP-2B",     -5.1852,     53.0000
"DP-2B",     -5.3009,     54.0000
"DP-2B",     -5.4398,     55.0000
"DP-2B",     -5.6481,     56.0000
"DP-2B",     -5.8102,     57.0000
"DP-2B",     -5.9491,     58.0000
"DP-2B",     -6.0000,     59.0000

